epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,2159.34,0.4102,0.56257,0.41972,0.89145,0,0.95631,0.98341,0.97963,0.91991,0.95631,0.98341,0.97963,0.92091,0.34465,0.44552,0.31198,0.86163,0,0.000618574,0.000618574,0.000618574
29,2235.92,0.40159,0.56699,0.40592,0.89675,0,0.95112,0.95242,0.97658,0.92074,0.95054,0.95207,0.97403,0.91455,0.3348,0.4826,0.3374,0.8431,0,0.00061504,0.00061504,0.00061504
30,2312.38,0.40496,0.56375,0.42017,0.89389,0,0.95776,0.96232,0.97565,0.92116,0.95847,0.96221,0.97589,0.92001,0.32156,0.46467,0.31106,0.83531,0,0.000611505,0.000611505,0.000611505
31,2389,0.39823,0.54621,0.39506,0.8939,0,0.95951,0.97183,0.9803,0.93576,0.95951,0.97183,0.9803,0.92901,0.31515,0.43306,0.28575,0.84594,0,0.000607971,0.000607971,0.000607971
32,2465.5,0.38751,0.53904,0.38858,0.89007,0,0.9434,0.97121,0.97139,0.92559,0.9434,0.97121,0.96963,0.91696,0.30333,0.45839,0.32928,0.83325,0,0.000604437,0.000604437,0.000604437
33,2541.93,0.39743,0.55281,0.39104,0.8966,0,0.94595,0.95333,0.97571,0.92751,0.94595,0.95333,0.97611,0.92364,0.32136,0.44711,0.31475,0.83999,0,0.000600902,0.000600902,0.000600902
34,2618.31,0.3935,0.55373,0.38723,0.88959,0,0.94769,0.971,0.97684,0.92081,0.94393,0.9677,0.97379,0.92365,0.32691,0.47199,0.30014,0.82984,0,0.000597368,0.000597368,0.000597368
35,2694.76,0.38855,0.52346,0.37999,0.88228,0,0.94897,0.96098,0.97513,0.9278,0.94897,0.96098,0.97537,0.93017,0.32772,0.54799,0.33201,0.85398,0,0.000593834,0.000593834,0.000593834
36,2771.22,0.38265,0.53223,0.36818,0.88785,0,0.95936,0.97281,0.97593,0.93137,0.95936,0.97281,0.97593,0.92316,0.31604,0.44457,0.2948,0.83697,0,0.0005903,0.0005903,0.0005903
37,2847.56,0.38039,0.53466,0.37019,0.88863,0,0.96721,0.96958,0.97929,0.93271,0.96721,0.96958,0.97929,0.9391,0.30596,0.42192,0.28611,0.82501,0,0.000586765,0.000586765,0.000586765
38,2924.19,0.38162,0.52056,0.37841,0.89027,0,0.95501,0.96665,0.97178,0.92458,0.95501,0.96665,0.97112,0.91652,0.31188,0.45797,0.31874,0.82985,0,0.000583231,0.000583231,0.000583231
39,3000.52,0.37833,0.52145,0.36592,0.88331,0,0.96373,0.97698,0.97846,0.93337,0.96373,0.97698,0.98005,0.92816,0.30162,0.42942,0.27824,0.82659,0,0.000579697,0.000579697,0.000579697
40,3077.07,0.38492,0.53703,0.37129,0.88996,0,0.9698,0.96377,0.97695,0.93355,0.9698,0.96377,0.97695,0.93047,0.30222,0.48605,0.29299,0.82284,0,0.000576162,0.000576162,0.000576162
41,3153.47,0.3775,0.53491,0.36683,0.88903,0,0.95648,0.97029,0.98171,0.93813,0.95648,0.97029,0.98171,0.93761,0.2932,0.41415,0.28052,0.81986,0,0.000572628,0.000572628,0.000572628
42,3230.04,0.36907,0.52698,0.35437,0.88423,0,0.97244,0.97352,0.9831,0.93402,0.97244,0.97352,0.9831,0.93962,0.31991,0.42261,0.27704,0.83185,0,0.000569094,0.000569094,0.000569094
43,3306.46,0.37393,0.52457,0.36418,0.87969,0,0.9712,0.96391,0.97293,0.92828,0.9712,0.96391,0.97293,0.92434,0.3024,0.42435,0.30772,0.82707,0,0.000565559,0.000565559,0.000565559
44,3383,0.37211,0.50446,0.35215,0.88357,0,0.9672,0.96549,0.97841,0.93684,0.9672,0.96549,0.97841,0.93294,0.29783,0.47545,0.27342,0.83036,0,0.000562025,0.000562025,0.000562025
45,3459.41,0.36642,0.50554,0.34226,0.88052,0,0.9594,0.97659,0.97714,0.93688,0.9594,0.97659,0.97714,0.93115,0.29152,0.40982,0.30087,0.82498,0,0.000558491,0.000558491,0.000558491
46,3535.85,0.35972,0.50638,0.34928,0.87699,0,0.96354,0.96482,0.97473,0.93352,0.96354,0.96482,0.97473,0.92651,0.30152,0.43072,0.29309,0.82901,0,0.000554956,0.000554956,0.000554956
47,3612.28,0.37114,0.51136,0.34868,0.88209,0,0.97167,0.97259,0.98257,0.94276,0.97167,0.97259,0.98312,0.94136,0.29705,0.44625,0.28256,0.82789,0,0.000551422,0.000551422,0.000551422
48,3688.93,0.36755,0.51322,0.34627,0.88373,0,0.97214,0.97774,0.98173,0.94295,0.97214,0.97774,0.98173,0.93792,0.29122,0.40698,0.26351,0.81474,0,0.000547888,0.000547888,0.000547888
49,3765.35,0.36892,0.51159,0.3489,0.88425,0,0.96387,0.97305,0.9801,0.94031,0.96387,0.97305,0.9801,0.93605,0.28721,0.39433,0.26987,0.81995,0,0.000544354,0.000544354,0.000544354
50,3841.8,0.35517,0.49227,0.33727,0.87615,0,0.9582,0.97823,0.97583,0.93499,0.9582,0.97823,0.97643,0.92646,0.29975,0.4164,0.28548,0.83354,0,0.000540819,0.000540819,0.000540819
51,3918.26,0.3566,0.48481,0.32988,0.87149,0,0.96755,0.9778,0.97981,0.94013,0.96755,0.9778,0.97981,0.93988,0.28887,0.39924,0.25498,0.81883,0,0.000537285,0.000537285,0.000537285
52,3994.67,0.35213,0.47625,0.32373,0.87295,0,0.96225,0.9787,0.9808,0.93962,0.96644,0.97605,0.98102,0.93103,0.28662,0.43509,0.26498,0.81268,0,0.000533751,0.000533751,0.000533751
53,4071.09,0.35718,0.49308,0.33275,0.87463,0,0.97009,0.97802,0.97959,0.94269,0.97009,0.97802,0.97953,0.93732,0.28234,0.42496,0.24386,0.81802,0,0.000530216,0.000530216,0.000530216
54,4147.44,0.35251,0.4768,0.33772,0.87603,0,0.96604,0.98302,0.98261,0.9441,0.96604,0.98302,0.982,0.9401,0.27161,0.39456,0.24888,0.81246,0,0.000526682,0.000526682,0.000526682
55,4224.08,0.35967,0.4864,0.33008,0.87309,0,0.96918,0.96487,0.9779,0.93588,0.96918,0.96487,0.97599,0.93237,0.29415,0.45703,0.2817,0.83916,0,0.000523148,0.000523148,0.000523148
56,4300.48,0.34941,0.49609,0.32077,0.87517,0,0.96485,0.98376,0.98152,0.94663,0.96485,0.98376,0.98152,0.9427,0.27912,0.40653,0.25234,0.81792,0,0.000519613,0.000519613,0.000519613
57,4377.11,0.35498,0.49642,0.31701,0.87252,0,0.96189,0.97529,0.97944,0.94234,0.96189,0.97529,0.9795,0.93404,0.28472,0.40698,0.26739,0.81666,0,0.000516079,0.000516079,0.000516079
58,4453.55,0.35081,0.4861,0.31752,0.87414,0,0.97232,0.97737,0.98062,0.94405,0.97232,0.97737,0.98062,0.93951,0.2955,0.40738,0.25282,0.81831,0,0.000512545,0.000512545,0.000512545
59,4529.99,0.34715,0.46015,0.31388,0.86958,0,0.96628,0.97918,0.98039,0.94727,0.96628,0.97918,0.98039,0.94091,0.27791,0.39478,0.25977,0.81091,0,0.000509011,0.000509011,0.000509011
60,4606.45,0.34965,0.46728,0.31201,0.87014,0,0.97757,0.98067,0.98104,0.94572,0.97757,0.98067,0.98104,0.93958,0.27567,0.39913,0.23625,0.81285,0,0.000505476,0.000505476,0.000505476
61,4682.94,0.35196,0.46026,0.32165,0.87442,0,0.96414,0.98289,0.9774,0.94365,0.96414,0.98289,0.9774,0.93648,0.28528,0.38984,0.26144,0.81708,0,0.000501942,0.000501942,0.000501942
62,4759.41,0.34609,0.47963,0.30841,0.87004,0,0.97379,0.97986,0.98423,0.94727,0.97379,0.97986,0.98423,0.94264,0.27949,0.41025,0.24975,0.8105,0,0.000498408,0.000498408,0.000498408
63,4836.05,0.34335,0.46454,0.2992,0.87019,0,0.97349,0.97453,0.98189,0.94733,0.97349,0.97453,0.98189,0.94325,0.26696,0.3844,0.23363,0.80983,0,0.000494873,0.000494873,0.000494873
64,4912.55,0.34071,0.4586,0.30985,0.87189,0,0.96405,0.98508,0.98049,0.94368,0.96405,0.98508,0.98049,0.9392,0.27912,0.40399,0.25387,0.81104,0,0.000491339,0.000491339,0.000491339
65,4989.03,0.33683,0.4675,0.2976,0.87139,0,0.97504,0.98122,0.98187,0.94566,0.97504,0.98122,0.98187,0.93782,0.27023,0.38833,0.23034,0.81004,0,0.000487805,0.000487805,0.000487805
66,5065.41,0.33932,0.46841,0.29371,0.86855,0,0.96951,0.97665,0.98304,0.95064,0.96951,0.97665,0.98304,0.94028,0.27643,0.39712,0.24405,0.81309,0,0.000484271,0.000484271,0.000484271
67,5142.02,0.33055,0.44554,0.29096,0.86485,0,0.96542,0.98249,0.97774,0.94109,0.96542,0.98249,0.97782,0.93465,0.26743,0.38028,0.24549,0.81377,0,0.000480736,0.000480736,0.000480736
68,5218.46,0.33978,0.45204,0.29412,0.86995,0,0.97074,0.98372,0.98247,0.94943,0.97074,0.98372,0.98247,0.94503,0.27148,0.39116,0.24958,0.81413,0,0.000477202,0.000477202,0.000477202
69,5295.09,0.33232,0.44656,0.2968,0.8651,0,0.96813,0.97566,0.97902,0.94337,0.96813,0.97566,0.97902,0.93896,0.27464,0.41459,0.24044,0.8104,0,0.000473668,0.000473668,0.000473668
70,5371.58,0.33757,0.45603,0.29219,0.86933,0,0.96236,0.98112,0.97773,0.94177,0.96236,0.98112,0.97773,0.93625,0.27229,0.42484,0.24377,0.81235,0,0.000470133,0.000470133,0.000470133
71,5448.14,0.33119,0.45045,0.28131,0.86415,0,0.96767,0.98292,0.97839,0.94638,0.96767,0.98292,0.97839,0.94081,0.27407,0.40062,0.25459,0.81249,0,0.000466599,0.000466599,0.000466599
72,5524.61,0.33224,0.44625,0.29843,0.86788,0,0.96558,0.98176,0.98162,0.94573,0.9666,0.97907,0.98144,0.94064,0.26567,0.39328,0.23716,0.80922,0,0.000463065,0.000463065,0.000463065
73,5601.07,0.33225,0.44878,0.28556,0.86735,0,0.97596,0.97697,0.98199,0.93816,0.97536,0.97533,0.98034,0.94181,0.27469,0.40093,0.24013,0.80975,0,0.00045953,0.00045953,0.00045953
74,5677.53,0.33768,0.44927,0.29085,0.86994,0,0.97091,0.97737,0.97984,0.94583,0.97091,0.97737,0.97984,0.94179,0.27055,0.38833,0.23739,0.81204,0,0.000455996,0.000455996,0.000455996
75,5753.96,0.32775,0.45603,0.28114,0.86756,0,0.96614,0.98508,0.98365,0.95059,0.96614,0.98508,0.98365,0.94822,0.26661,0.39057,0.24342,0.81018,0,0.000452462,0.000452462,0.000452462
76,5830.52,0.32802,0.45192,0.27577,0.86427,0,0.97629,0.97805,0.98407,0.94817,0.97629,0.97805,0.98407,0.9472,0.27818,0.4058,0.23563,0.81638,0,0.000448928,0.000448928,0.000448928
77,5907.03,0.33153,0.45527,0.28884,0.86367,0,0.97756,0.97993,0.98196,0.94843,0.97756,0.97993,0.98196,0.94211,0.27154,0.37936,0.231,0.81655,0,0.000445393,0.000445393,0.000445393
78,5983.56,0.32693,0.44479,0.27929,0.86364,0,0.97509,0.97769,0.98049,0.94328,0.97509,0.97769,0.98064,0.9435,0.26921,0.39173,0.23486,0.81557,0,0.000441859,0.000441859,0.000441859
79,6060.08,0.32485,0.43539,0.28273,0.86375,0,0.97705,0.9744,0.98391,0.9484,0.97705,0.9744,0.98391,0.94391,0.26999,0.38461,0.23207,0.81387,0,0.000438325,0.000438325,0.000438325
80,6136.53,0.33006,0.43867,0.28488,0.86665,0,0.97023,0.97773,0.98316,0.95023,0.97023,0.97773,0.98316,0.94625,0.27273,0.37489,0.23526,0.81837,0,0.00043479,0.00043479,0.00043479
81,6213.1,0.32754,0.43399,0.27639,0.86532,0,0.96839,0.98656,0.98185,0.95171,0.96839,0.98656,0.98185,0.94782,0.26737,0.38304,0.22008,0.81179,0,0.000431256,0.000431256,0.000431256
82,6291.6,0.32916,0.44827,0.27338,0.86549,0,0.96863,0.98332,0.98009,0.94945,0.96863,0.98332,0.98009,0.94675,0.27265,0.38699,0.22349,0.81946,0,0.000427722,0.000427722,0.000427722
